epoch,lr,train_loss,train_accuracy,val_loss,val_accuracy,mean_grad_norm,max_grad_norm
1,0.0001,1.2301363891601562,0.55746,1.0488492880821227,0.6253,8.876048668420053,14.10220116251974
2,0.0001,0.8116861459732055,0.71444,0.9629915882110596,0.6639,9.772572400229423,16.57015571115528
3,0.0001,0.5876699584197999,0.7945,0.832416862487793,0.7178,10.369413061308453,19.819164168163024
4,0.0001,0.39562123516082764,0.86252,0.8945418053627014,0.7188,11.016922409712585,20.47472773454887
5,0.0001,0.2634228868961334,0.90718,1.0798014457702636,0.6961,11.23425616785069,23.68837066755122
6,0.0001,0.1756827391242981,0.93764,1.1235680740356446,0.7143,10.645880824854144,24.971520853695676
7,0.0001,0.13447331645965577,0.9531,1.1404923084259033,0.7191,10.245919393801623,21.756521183487035
8,0.0001,0.11470481038808823,0.9586,1.1800179880142212,0.7255,10.189330723136035,18.256561739956986
9,0.0001,0.08868649228572846,0.96866,1.2997093421936035,0.7088,9.31222982387907,30.043658520441586
10,0.0001,0.08657974760532379,0.96916,1.2694928243637085,0.723,9.226820494105933,18.247397910035087
11,0.0001,0.0763481971335411,0.97246,1.2678836069107056,0.7317,9.019877815986577,17.40929757419489
12,0.0001,0.07057013308167458,0.97572,1.2255562576293946,0.7431,8.531172463128215,19.65963579231026
13,0.0001,0.06886260073542595,0.97642,1.1956037818908691,0.7387,8.640189233531855,23.167810772350695
14,0.0001,0.06462280110955239,0.97796,1.2023747898101806,0.7419,8.226275706550494,16.407318257921105
15,0.0001,0.05797496185064316,0.97962,1.283366281890869,0.7301,7.9063121363893245,18.29574509869837
16,0.0001,0.05323973623156548,0.9813,1.3988078842163085,0.7242,7.7682265964112664,21.21709620538074
17,0.0001,0.05977626554965973,0.97914,1.1752857559204102,0.7471,8.092961410056255,16.978047974029447
18,0.0001,0.05455793560743332,0.98104,1.2346437831878663,0.7402,7.68571124591936,19.225999655107348
19,0.0001,0.04615328169703484,0.98366,1.3475664707183839,0.7386,6.986372728035954,15.867683707575667
20,0.0001,0.05296470659971237,0.9821,1.1996746589660645,0.7434,7.419390166453834,20.061571864092752
